"response_id","timestamp","term","probability","order","age_band","english_background","education_level","country_of_residence"
5,"2026-01-03T15:18:46.891276","Probable",65,5,"","","",""
5,"2026-01-03T15:18:46.891276","Realistic Possibility",45,11,"","","",""
5,"2026-01-03T15:18:46.891276","Remote Chance",30,12,"","","",""
5,"2026-01-03T15:18:46.891276","Unlikely",30,3,"","","",""
5,"2026-01-03T15:18:46.891276","Very Good Chance",95,18,"","","",""
5,"2026-01-03T15:18:46.891276","Will Happen",95,14,"","","",""
10,"2026-01-03T16:20:57.101975","About Even",50,8,"","","",""
10,"2026-01-03T16:20:57.101975","Almost Certain",90,2,"","","",""
10,"2026-01-03T16:20:57.101975","Almost No Chance",1,13,"","","",""
10,"2026-01-03T16:20:57.101975","Better than Even",60,9,"","","",""
10,"2026-01-03T16:20:57.101975","Chances are Slight",5,11,"","","",""
10,"2026-01-03T16:20:57.101975","Could Happen",10,18,"","","",""
10,"2026-01-03T16:20:57.101975","Highly Likely",85,7,"","","",""
10,"2026-01-03T16:20:57.101975","Highly Unlikely",5,16,"","","",""
10,"2026-01-03T16:20:57.101975","Improbable",5,12,"","","",""
10,"2026-01-03T16:20:57.101975","Likely",80,6,"","","",""
10,"2026-01-03T16:20:57.101975","Little Chance",5,3,"","","",""
10,"2026-01-03T16:20:57.101975","May Happen",65,10,"","","",""
10,"2026-01-03T16:20:57.101975","Might Happen",50,15,"","","",""
10,"2026-01-03T16:20:57.101975","Probable",70,1,"","","",""
10,"2026-01-03T16:20:57.101975","Realistic Possibility",50,14,"","","",""
10,"2026-01-03T16:20:57.101975","Remote Chance",1,19,"","","",""
10,"2026-01-03T16:20:57.101975","Unlikely",20,4,"","","",""
10,"2026-01-03T16:20:57.101975","Very Good Chance",80,5,"","","",""
10,"2026-01-03T16:20:57.101975","Will Happen",100,17,"","","",""
11,"2026-01-03T16:22:02.286213","About Even",50,7,"","","",""
11,"2026-01-03T16:22:02.286213","Almost Certain",99,16,"","","",""
11,"2026-01-03T16:22:02.286213","Almost No Chance",1,11,"","","",""
11,"2026-01-03T16:22:02.286213","Better than Even",60,17,"","","",""
11,"2026-01-03T16:22:02.286213","Chances are Slight",5,12,"","","",""
11,"2026-01-03T16:22:02.286213","Could Happen",30,3,"","","",""
11,"2026-01-03T16:22:02.286213","Highly Likely",95,10,"","","",""
11,"2026-01-03T16:22:02.286213","Highly Unlikely",1,15,"","","",""
11,"2026-01-03T16:22:02.286213","Improbable",25,18,"","","",""
11,"2026-01-03T16:22:02.286213","Likely",72,1,"","","",""
11,"2026-01-03T16:22:02.286213","Little Chance",10,9,"","","",""
11,"2026-01-03T16:22:02.286213","May Happen",15,2,"","","",""
11,"2026-01-03T16:22:02.286213","Might Happen",30,14,"","","",""
11,"2026-01-03T16:22:02.286213","Probable",66,8,"","","",""
11,"2026-01-03T16:22:02.286213","Realistic Possibility",12,19,"","","",""
11,"2026-01-03T16:22:02.286213","Remote Chance",2,6,"","","",""
11,"2026-01-03T16:22:02.286213","Unlikely",20,13,"","","",""
11,"2026-01-03T16:22:02.286213","Very Good Chance",80,4,"","","",""
11,"2026-01-03T16:22:02.286213","Will Happen",100,5,"","","",""
13,"2026-01-03T16:22:35.367356","About Even",50,9,"","","",""
13,"2026-01-03T16:22:35.367356","Almost Certain",99,18,"","","",""
13,"2026-01-03T16:22:35.367356","Almost No Chance",1,8,"","","",""
13,"2026-01-03T16:22:35.367356","Better than Even",51,16,"","","",""
13,"2026-01-03T16:22:35.367356","Chances are Slight",1,19,"","","",""
13,"2026-01-03T16:22:35.367356","Could Happen",1,5,"","","",""
13,"2026-01-03T16:22:35.367356","Highly Likely",90,1,"","","",""
13,"2026-01-03T16:22:35.367356","Highly Unlikely",1,12,"","","",""
13,"2026-01-03T16:22:35.367356","Improbable",1,15,"","","",""
13,"2026-01-03T16:22:35.367356","Likely",51,7,"","","",""
13,"2026-01-03T16:22:35.367356","Little Chance",5,11,"","","",""
13,"2026-01-03T16:22:35.367356","May Happen",1,13,"","","",""
13,"2026-01-03T16:22:35.367356","Might Happen",1,14,"","","",""
13,"2026-01-03T16:22:35.367356","Probable",75,3,"","","",""
13,"2026-01-03T16:22:35.367356","Realistic Possibility",1,6,"","","",""
13,"2026-01-03T16:22:35.367356","Remote Chance",1,10,"","","",""
13,"2026-01-03T16:22:35.367356","Unlikely",10,4,"","","",""
13,"2026-01-03T16:22:35.367356","Very Good Chance",60,2,"","","",""
13,"2026-01-03T16:22:35.367356","Will Happen",100,17,"","","",""
15,"2026-01-03T16:23:39.718540","About Even",50,19,"","","",""
15,"2026-01-03T16:23:39.718540","Almost Certain",95,6,"","","",""
15,"2026-01-03T16:23:39.718540","Almost No Chance",1,4,"","","",""
15,"2026-01-03T16:23:39.718540","Better than Even",51,16,"","","",""
15,"2026-01-03T16:23:39.718540","Chances are Slight",5,2,"","","",""
15,"2026-01-03T16:23:39.718540","Could Happen",51,3,"","","",""
15,"2026-01-03T16:23:39.718540","Highly Likely",80,17,"","","",""
15,"2026-01-03T16:23:39.718540","Highly Unlikely",5,7,"","","",""
15,"2026-01-03T16:23:39.718540","Improbable",49,10,"","","",""
15,"2026-01-03T16:23:39.718540","Likely",51,15,"","","",""
15,"2026-01-03T16:23:39.718540","Little Chance",10,8,"","","",""
15,"2026-01-03T16:23:39.718540","May Happen",51,13,"","","",""
15,"2026-01-03T16:23:39.718540","Might Happen",51,9,"","","",""
15,"2026-01-03T16:23:39.718540","Probable",51,1,"","","",""
15,"2026-01-03T16:23:39.718540","Realistic Possibility",50,5,"","","",""
15,"2026-01-03T16:23:39.718540","Remote Chance",1,14,"","","",""
15,"2026-01-03T16:23:39.718540","Unlikely",40,12,"","","",""
15,"2026-01-03T16:23:39.718540","Very Good Chance",80,11,"","","",""
15,"2026-01-03T16:23:39.718540","Will Happen",90,18,"","","",""
19,"2026-01-03T16:24:22.341863","About Even",50,11,"","","",""
19,"2026-01-03T16:24:22.341863","Almost Certain",98,18,"","","",""
19,"2026-01-03T16:24:22.341863","Almost No Chance",1,7,"","","",""
19,"2026-01-03T16:24:22.341863","Better than Even",60,12,"","","",""
19,"2026-01-03T16:24:22.341863","Chances are Slight",5,15,"","","",""
19,"2026-01-03T16:24:22.341863","Could Happen",50,10,"","","",""
19,"2026-01-03T16:24:22.341863","Highly Likely",95,6,"","","",""
19,"2026-01-03T16:24:22.341863","Highly Unlikely",5,14,"","","",""
19,"2026-01-03T16:24:22.341863","Improbable",15,9,"","","",""
19,"2026-01-03T16:24:22.341863","Likely",60,2,"","","",""
19,"2026-01-03T16:24:22.341863","Little Chance",20,3,"","","",""
19,"2026-01-03T16:24:22.341863","May Happen",65,13,"","","",""
19,"2026-01-03T16:24:22.341863","Might Happen",50,17,"","","",""
19,"2026-01-03T16:24:22.341863","Probable",75,19,"","","",""
19,"2026-01-03T16:24:22.341863","Realistic Possibility",55,8,"","","",""
19,"2026-01-03T16:24:22.341863","Remote Chance",2,4,"","","",""
19,"2026-01-03T16:24:22.341863","Unlikely",10,1,"","","",""
19,"2026-01-03T16:24:22.341863","Very Good Chance",85,5,"","","",""
19,"2026-01-03T16:24:22.341863","Will Happen",100,16,"","","",""
23,"2026-01-03T16:25:59.709792","About Even",50,2,"","","",""
23,"2026-01-03T16:25:59.709792","Almost Certain",95,12,"","","",""
23,"2026-01-03T16:25:59.709792","Almost No Chance",1,6,"","","",""
23,"2026-01-03T16:25:59.709792","Better than Even",60,7,"","","",""
23,"2026-01-03T16:25:59.709792","Chances are Slight",5,18,"","","",""
23,"2026-01-03T16:25:59.709792","Could Happen",40,11,"","","",""
23,"2026-01-03T16:25:59.709792","Highly Likely",95,10,"","","",""
23,"2026-01-03T16:25:59.709792","Highly Unlikely",5,17,"","","",""
23,"2026-01-03T16:25:59.709792","Improbable",5,1,"","","",""
23,"2026-01-03T16:25:59.709792","Likely",90,3,"","","",""
23,"2026-01-03T16:25:59.709792","Little Chance",1,4,"","","",""
23,"2026-01-03T16:25:59.709792","May Happen",30,15,"","","",""
23,"2026-01-03T16:25:59.709792","Might Happen",40,9,"","","",""
23,"2026-01-03T16:25:59.709792","Probable",80,5,"","","",""
23,"2026-01-03T16:25:59.709792","Realistic Possibility",70,8,"","","",""
23,"2026-01-03T16:25:59.709792","Remote Chance",5,14,"","","",""
23,"2026-01-03T16:25:59.709792","Unlikely",20,13,"","","",""
23,"2026-01-03T16:25:59.709792","Very Good Chance",80,16,"","","",""
23,"2026-01-03T16:25:59.709792","Will Happen",99,19,"","","",""
26,"2026-01-03T16:28:05.830432","About Even",50,3,"","","",""
26,"2026-01-03T16:28:05.830432","Almost Certain",99,9,"","","",""
26,"2026-01-03T16:28:05.830432","Almost No Chance",1,16,"","","",""
26,"2026-01-03T16:28:05.830432","Better than Even",51,1,"","","",""
26,"2026-01-03T16:28:05.830432","Chances are Slight",10,11,"","","",""
26,"2026-01-03T16:28:05.830432","Could Happen",50,12,"","","",""
26,"2026-01-03T16:28:05.830432","Highly Likely",75,15,"","","",""
26,"2026-01-03T16:28:05.830432","Highly Unlikely",10,5,"","","",""
26,"2026-01-03T16:28:05.830432","Improbable",5,19,"","","",""
26,"2026-01-03T16:28:05.830432","Likely",80,2,"","","",""
26,"2026-01-03T16:28:05.830432","Little Chance",20,7,"","","",""
26,"2026-01-03T16:28:05.830432","May Happen",55,10,"","","",""
26,"2026-01-03T16:28:05.830432","Might Happen",50,13,"","","",""
26,"2026-01-03T16:28:05.830432","Probable",90,14,"","","",""
26,"2026-01-03T16:28:05.830432","Realistic Possibility",1,4,"","","",""
26,"2026-01-03T16:28:05.830432","Remote Chance",5,8,"","","",""
26,"2026-01-03T16:28:05.830432","Unlikely",40,17,"","","",""
26,"2026-01-03T16:28:05.830432","Very Good Chance",60,6,"","","",""
26,"2026-01-03T16:28:05.830432","Will Happen",100,18,"","","",""
29,"2026-01-03T16:29:17.119010","About Even",50,6,"","","",""
29,"2026-01-03T16:29:17.119010","Almost Certain",99,7,"","","",""
29,"2026-01-03T16:29:17.119010","Almost No Chance",1,8,"","","",""
29,"2026-01-03T16:29:17.119010","Better than Even",55,5,"","","",""
29,"2026-01-03T16:29:17.119010","Chances are Slight",20,18,"","","",""
29,"2026-01-03T16:29:17.119010","Could Happen",40,12,"","","",""
29,"2026-01-03T16:29:17.119010","Highly Likely",90,15,"","","",""
29,"2026-01-03T16:29:17.119010","Highly Unlikely",2,9,"","","",""
29,"2026-01-03T16:29:17.119010","Improbable",1,3,"","","",""
29,"2026-01-03T16:29:17.119010","Likely",70,1,"","","",""
29,"2026-01-03T16:29:17.119010","Little Chance",10,2,"","","",""
29,"2026-01-03T16:29:17.119010","May Happen",40,17,"","","",""
29,"2026-01-03T16:29:17.119010","Might Happen",30,4,"","","",""
29,"2026-01-03T16:29:17.119010","Probable",70,14,"","","",""
29,"2026-01-03T16:29:17.119010","Realistic Possibility",75,19,"","","",""
29,"2026-01-03T16:29:17.119010","Remote Chance",15,11,"","","",""
29,"2026-01-03T16:29:17.119010","Unlikely",10,10,"","","",""
29,"2026-01-03T16:29:17.119010","Very Good Chance",80,16,"","","",""
29,"2026-01-03T16:29:17.119010","Will Happen",100,13,"","","",""
32,"2026-01-03T16:30:40.746085","About Even",50,7,"","","",""
32,"2026-01-03T16:30:40.746085","Almost Certain",99,18,"","","",""
32,"2026-01-03T16:30:40.746085","Almost No Chance",1,17,"","","",""
32,"2026-01-03T16:30:40.746085","Better than Even",60,16,"","","",""
32,"2026-01-03T16:30:40.746085","Chances are Slight",10,2,"","","",""
32,"2026-01-03T16:30:40.746085","Could Happen",50,19,"","","",""
32,"2026-01-03T16:30:40.746085","Highly Likely",95,11,"","","",""
32,"2026-01-03T16:30:40.746085","Highly Unlikely",5,8,"","","",""
32,"2026-01-03T16:30:40.746085","Improbable",10,14,"","","",""
32,"2026-01-03T16:30:40.746085","Likely",80,12,"","","",""
32,"2026-01-03T16:30:40.746085","Little Chance",20,4,"","","",""
32,"2026-01-03T16:30:40.746085","May Happen",30,9,"","","",""
32,"2026-01-03T16:30:40.746085","Might Happen",30,3,"","","",""
32,"2026-01-03T16:30:40.746085","Probable",70,10,"","","",""
32,"2026-01-03T16:30:40.746085","Realistic Possibility",60,13,"","","",""
32,"2026-01-03T16:30:40.746085","Remote Chance",5,5,"","","",""
32,"2026-01-03T16:30:40.746085","Unlikely",20,15,"","","",""
32,"2026-01-03T16:30:40.746085","Very Good Chance",90,1,"","","",""
32,"2026-01-03T16:30:40.746085","Will Happen",100,6,"","","",""
33,"2026-01-03T16:31:31.426018","About Even",50,17,"","","",""
33,"2026-01-03T16:31:31.426018","Almost Certain",95,12,"","","",""
33,"2026-01-03T16:31:31.426018","Almost No Chance",0,10,"","","",""
33,"2026-01-03T16:31:31.426018","Better than Even",65,14,"","","",""
33,"2026-01-03T16:31:31.426018","Chances are Slight",5,2,"","","",""
33,"2026-01-03T16:31:31.426018","Could Happen",80,8,"","","",""
33,"2026-01-03T16:31:31.426018","Highly Likely",95,18,"","","",""
33,"2026-01-03T16:31:31.426018","Highly Unlikely",1,1,"","","",""
33,"2026-01-03T16:31:31.426018","Improbable",5,7,"","","",""
33,"2026-01-03T16:31:31.426018","Likely",95,13,"","","",""
33,"2026-01-03T16:31:31.426018","Little Chance",5,19,"","","",""
33,"2026-01-03T16:31:31.426018","May Happen",5,4,"","","",""
33,"2026-01-03T16:31:31.426018","Might Happen",10,5,"","","",""
33,"2026-01-03T16:31:31.426018","Probable",75,15,"","","",""
33,"2026-01-03T16:31:31.426018","Realistic Possibility",90,9,"","","",""
33,"2026-01-03T16:31:31.426018","Remote Chance",30,16,"","","",""
33,"2026-01-03T16:31:31.426018","Unlikely",2,11,"","","",""
33,"2026-01-03T16:31:31.426018","Very Good Chance",75,6,"","","",""
33,"2026-01-03T16:31:31.426018","Will Happen",95,3,"","","",""
35,"2026-01-03T16:32:44.187067","About Even",50,8,"","","",""
35,"2026-01-03T16:32:44.187067","Almost Certain",98,15,"","","",""
35,"2026-01-03T16:32:44.187067","Almost No Chance",2,5,"","","",""
35,"2026-01-03T16:32:44.187067","Better than Even",60,10,"","","",""
35,"2026-01-03T16:32:44.187067","Chances are Slight",6,6,"","","",""
35,"2026-01-03T16:32:44.187067","Could Happen",40,11,"","","",""
35,"2026-01-03T16:32:44.187067","Highly Likely",90,4,"","","",""
35,"2026-01-03T16:32:44.187067","Highly Unlikely",10,9,"","","",""
35,"2026-01-03T16:32:44.187067","Improbable",15,2,"","","",""
35,"2026-01-03T16:32:44.187067","Likely",80,3,"","","",""
35,"2026-01-03T16:32:44.187067","Little Chance",5,16,"","","",""
35,"2026-01-03T16:32:44.187067","May Happen",30,14,"","","",""
35,"2026-01-03T16:32:44.187067","Might Happen",20,13,"","","",""
35,"2026-01-03T16:32:44.187067","Probable",70,18,"","","",""
35,"2026-01-03T16:32:44.187067","Realistic Possibility",35,12,"","","",""
35,"2026-01-03T16:32:44.187067","Remote Chance",5,1,"","","",""
35,"2026-01-03T16:32:44.187067","Unlikely",15,17,"","","",""
35,"2026-01-03T16:32:44.187067","Very Good Chance",75,19,"","","",""
35,"2026-01-03T16:32:44.187067","Will Happen",100,7,"","","",""
36,"2026-01-03T16:33:44.761713","About Even",50,7,"","","",""
36,"2026-01-03T16:33:44.761713","Almost Certain",90,17,"","","",""
36,"2026-01-03T16:33:44.761713","Almost No Chance",1,12,"","","",""
36,"2026-01-03T16:33:44.761713","Better than Even",55,13,"","","",""
36,"2026-01-03T16:33:44.761713","Chances are Slight",10,5,"","","",""
36,"2026-01-03T16:33:44.761713","Could Happen",45,3,"","","",""
36,"2026-01-03T16:33:44.761713","Highly Likely",65,14,"","","",""
36,"2026-01-03T16:33:44.761713","Highly Unlikely",3,9,"","","",""
36,"2026-01-03T16:33:44.761713","Improbable",5,10,"","","",""
36,"2026-01-03T16:33:44.761713","Likely",60,1,"","","",""
36,"2026-01-03T16:33:44.761713","Little Chance",4,15,"","","",""
36,"2026-01-03T16:33:44.761713","May Happen",15,8,"","","",""
36,"2026-01-03T16:33:44.761713","Might Happen",5,11,"","","",""
36,"2026-01-03T16:33:44.761713","Probable",80,6,"","","",""
36,"2026-01-03T16:33:44.761713","Realistic Possibility",51,4,"","","",""
36,"2026-01-03T16:33:44.761713","Remote Chance",2,19,"","","",""
36,"2026-01-03T16:33:44.761713","Unlikely",10,16,"","","",""
36,"2026-01-03T16:33:44.761713","Very Good Chance",70,2,"","","",""
36,"2026-01-03T16:33:44.761713","Will Happen",95,18,"","","",""
40,"2026-01-03T16:40:37.916650","About Even",40,15,"","","",""
40,"2026-01-03T16:40:37.916650","Almost Certain",95,2,"","","",""
40,"2026-01-03T16:40:37.916650","Almost No Chance",5,17,"","","",""
40,"2026-01-03T16:40:37.916650","Better than Even",40,4,"","","",""
40,"2026-01-03T16:40:37.916650","Chances are Slight",10,5,"","","",""
40,"2026-01-03T16:40:37.916650","Could Happen",20,10,"","","",""
40,"2026-01-03T16:40:37.916650","Highly Likely",95,6,"","","",""
40,"2026-01-03T16:40:37.916650","Highly Unlikely",5,19,"","","",""
40,"2026-01-03T16:40:37.916650","Improbable",5,18,"","","",""
40,"2026-01-03T16:40:37.916650","Likely",40,11,"","","",""
40,"2026-01-03T16:40:37.916650","Little Chance",5,9,"","","",""
40,"2026-01-03T16:40:37.916650","May Happen",30,14,"","","",""
40,"2026-01-03T16:40:37.916650","Might Happen",50,1,"","","",""
40,"2026-01-03T16:40:37.916650","Probable",40,8,"","","",""
40,"2026-01-03T16:40:37.916650","Realistic Possibility",4,13,"","","",""
40,"2026-01-03T16:40:37.916650","Remote Chance",5,7,"","","",""
40,"2026-01-03T16:40:37.916650","Unlikely",30,3,"","","",""
40,"2026-01-03T16:40:37.916650","Very Good Chance",80,12,"","","",""
40,"2026-01-03T16:40:37.916650","Will Happen",80,16,"","","",""
42,"2026-01-03T16:41:05.035777","About Even",50,14,"","","",""
42,"2026-01-03T16:41:05.035777","Almost Certain",99,12,"","","",""
42,"2026-01-03T16:41:05.035777","Almost No Chance",1,15,"","","",""
42,"2026-01-03T16:41:05.035777","Better than Even",55,5,"","","",""
42,"2026-01-03T16:41:05.035777","Chances are Slight",10,4,"","","",""
42,"2026-01-03T16:41:05.035777","Could Happen",60,7,"","","",""
42,"2026-01-03T16:41:05.035777","Highly Likely",95,16,"","","",""
42,"2026-01-03T16:41:05.035777","Highly Unlikely",90,1,"","","",""
42,"2026-01-03T16:41:05.035777","Improbable",5,19,"","","",""
42,"2026-01-03T16:41:05.035777","Likely",80,2,"","","",""
42,"2026-01-03T16:41:05.035777","Little Chance",5,17,"","","",""
42,"2026-01-03T16:41:05.035777","May Happen",65,11,"","","",""
42,"2026-01-03T16:41:05.035777","Might Happen",60,10,"","","",""
42,"2026-01-03T16:41:05.035777","Probable",75,6,"","","",""
42,"2026-01-03T16:41:05.035777","Realistic Possibility",75,9,"","","",""
42,"2026-01-03T16:41:05.035777","Remote Chance",51,8,"","","",""
42,"2026-01-03T16:41:05.035777","Unlikely",10,13,"","","",""
42,"2026-01-03T16:41:05.035777","Very Good Chance",80,18,"","","",""
42,"2026-01-03T16:41:05.035777","Will Happen",100,3,"","","",""
44,"2026-01-03T16:42:14.300970","About Even",45,4,"","","",""
44,"2026-01-03T16:42:14.300970","Almost Certain",98,11,"","","",""
44,"2026-01-03T16:42:14.300970","Almost No Chance",3,12,"","","",""
44,"2026-01-03T16:42:14.300970","Better than Even",58,17,"","","",""
44,"2026-01-03T16:42:14.300970","Chances are Slight",1,2,"","","",""
44,"2026-01-03T16:42:14.300970","Could Happen",10,1,"","","",""
44,"2026-01-03T16:42:14.300970","Highly Likely",80,9,"","","",""
44,"2026-01-03T16:42:14.300970","Highly Unlikely",1,6,"","","",""
44,"2026-01-03T16:42:14.300970","Improbable",5,10,"","","",""
44,"2026-01-03T16:42:14.300970","Likely",65,8,"","","",""
44,"2026-01-03T16:42:14.300970","Little Chance",5,13,"","","",""
44,"2026-01-03T16:42:14.300970","May Happen",30,18,"","","",""
44,"2026-01-03T16:42:14.300970","Might Happen",30,16,"","","",""
44,"2026-01-03T16:42:14.300970","Probable",60,5,"","","",""
44,"2026-01-03T16:42:14.300970","Realistic Possibility",20,15,"","","",""
44,"2026-01-03T16:42:14.300970","Remote Chance",1,14,"","","",""
44,"2026-01-03T16:42:14.300970","Unlikely",20,3,"","","",""
44,"2026-01-03T16:42:14.300970","Very Good Chance",75,19,"","","",""
44,"2026-01-03T16:42:14.300970","Will Happen",95,7,"","","",""
46,"2026-01-03T16:42:44.833422","About Even",50,13,"","","",""
46,"2026-01-03T16:42:44.833422","Almost Certain",90,8,"","","",""
46,"2026-01-03T16:42:44.833422","Almost No Chance",5,14,"","","",""
46,"2026-01-03T16:42:44.833422","Better than Even",60,7,"","","",""
46,"2026-01-03T16:42:44.833422","Chances are Slight",10,3,"","","",""
46,"2026-01-03T16:42:44.833422","Could Happen",5,9,"","","",""
46,"2026-01-03T16:42:44.833422","Highly Likely",95,18,"","","",""
46,"2026-01-03T16:42:44.833422","Highly Unlikely",1,5,"","","",""
46,"2026-01-03T16:42:44.833422","Improbable",10,2,"","","",""
46,"2026-01-03T16:42:44.833422","Likely",90,19,"","","",""
46,"2026-01-03T16:42:44.833422","Little Chance",5,17,"","","",""
46,"2026-01-03T16:42:44.833422","May Happen",60,12,"","","",""
46,"2026-01-03T16:42:44.833422","Might Happen",10,10,"","","",""
46,"2026-01-03T16:42:44.833422","Probable",90,1,"","","",""
46,"2026-01-03T16:42:44.833422","Realistic Possibility",30,6,"","","",""
46,"2026-01-03T16:42:44.833422","Remote Chance",1,16,"","","",""
46,"2026-01-03T16:42:44.833422","Unlikely",10,4,"","","",""
46,"2026-01-03T16:42:44.833422","Very Good Chance",90,15,"","","",""
46,"2026-01-03T16:42:44.833422","Will Happen",100,11,"","","",""
47,"2026-01-03T16:44:21.931252","About Even",50,11,"","","",""
47,"2026-01-03T16:44:21.931252","Almost Certain",99,12,"","","",""
47,"2026-01-03T16:44:21.931252","Almost No Chance",1,9,"","","",""
47,"2026-01-03T16:44:21.931252","Better than Even",55,2,"","","",""
47,"2026-01-03T16:44:21.931252","Chances are Slight",5,17,"","","",""
47,"2026-01-03T16:44:21.931252","Could Happen",50,19,"","","",""
47,"2026-01-03T16:44:21.931252","Highly Likely",95,8,"","","",""
47,"2026-01-03T16:44:21.931252","Highly Unlikely",2,7,"","","",""
47,"2026-01-03T16:44:21.931252","Improbable",30,3,"","","",""
47,"2026-01-03T16:44:21.931252","Likely",60,4,"","","",""
47,"2026-01-03T16:44:21.931252","Little Chance",10,10,"","","",""
47,"2026-01-03T16:44:21.931252","May Happen",30,15,"","","",""
47,"2026-01-03T16:44:21.931252","Might Happen",20,6,"","","",""
47,"2026-01-03T16:44:21.931252","Probable",70,14,"","","",""
47,"2026-01-03T16:44:21.931252","Realistic Possibility",60,13,"","","",""
47,"2026-01-03T16:44:21.931252","Remote Chance",5,1,"","","",""
47,"2026-01-03T16:44:21.931252","Unlikely",2,18,"","","",""
47,"2026-01-03T16:44:21.931252","Very Good Chance",80,5,"","","",""
47,"2026-01-03T16:44:21.931252","Will Happen",100,16,"","","",""
48,"2026-01-03T16:44:25.362372","About Even",49,5,"","","",""
48,"2026-01-03T16:44:25.362372","Almost Certain",98,7,"","","",""
48,"2026-01-03T16:44:25.362372","Almost No Chance",5,11,"","","",""
48,"2026-01-03T16:44:25.362372","Better than Even",55,19,"","","",""
48,"2026-01-03T16:44:25.362372","Chances are Slight",15,12,"","","",""
48,"2026-01-03T16:44:25.362372","Could Happen",15,18,"","","",""
48,"2026-01-03T16:44:25.362372","Highly Likely",80,1,"","","",""
48,"2026-01-03T16:44:25.362372","Highly Unlikely",5,8,"","","",""
48,"2026-01-03T16:44:25.362372","Improbable",35,15,"","","",""
48,"2026-01-03T16:44:25.362372","Likely",65,4,"","","",""
48,"2026-01-03T16:44:25.362372","Little Chance",10,13,"","","",""
48,"2026-01-03T16:44:25.362372","May Happen",35,2,"","","",""
48,"2026-01-03T16:44:25.362372","Might Happen",10,9,"","","",""
48,"2026-01-03T16:44:25.362372","Probable",40,3,"","","",""
48,"2026-01-03T16:44:25.362372","Realistic Possibility",15,17,"","","",""
48,"2026-01-03T16:44:25.362372","Remote Chance",20,16,"","","",""
48,"2026-01-03T16:44:25.362372","Unlikely",20,14,"","","",""
